year,weight_kg,product_category,departure_place,departure_region,arrival_place,arrival_region
1701,55328.0,Nutmeg,Batavia,Batavia,Zeeland,Republiek
1701,23925.902,Nutmeg,Batavia,Batavia,Zeeland,Republiek
1701,8.5,Nutmeg,Batavia,Batavia,Delft,Republiek
1701,7341.334,Nutmeg,Batavia,Batavia,Delft,Republiek
1701,18772.0,Nutmeg,Batavia,Batavia,Enkhuizen,Republiek
1701,619.5995,Nutmeg,Batavia,Batavia,,Ceylon
1701,760.76,Nutmeg,Batavia,Batavia,,Ceylon
1701,18278.0,Nutmeg,Batavia,Batavia,Rotterdam,Republiek
1701,3803.8,Nutmeg,Batavia,Batavia,Rotterdam,Republiek
1701,1.0,Cloves,Batavia,Batavia,Amsterdam,Republiek
1701,5.0,Nutmeg,Batavia,Batavia,Rotterdam,Republiek
1701,18772.0,Nutmeg,Batavia,Batavia,Hoorn,Republiek
1701,3803.8,Nutmeg,Batavia,Batavia,Hoorn,Republiek
1701,5.0,Nutmeg,Batavia,Batavia,Hoorn,Republiek
1701,3803.8,Nutmeg,Batavia,Batavia,Enkhuizen,Republiek
1701,5.0,Nutmeg,Batavia,Batavia,Enkhuizen,Republiek
1701,43059.015999999996,Nutmeg,Batavia,Batavia,Amsterdam,Republiek
1701,23.5,Nutmeg,Batavia,Batavia,Zeeland,Republiek
1701,150.0,Nutmeg,Malakka,Malakka,,Bengalen
1701,49.4,Nutmeg,Banda-Neira,Banda,Ternate,Ternate
1701,150.0,Nutmeg,Malakka,Malakka,,Coromandel
1701,39.767,Nutmeg,Banda-Neira,Banda,Amboina,Amboina
1701,76.076,Nutmeg,Batavia,Batavia,Kaap de Goede Hoop,Kaap de Goede Hoop
1701,98.8,Nutmeg,Batavia,Batavia,Kaap de Goede Hoop,Kaap de Goede Hoop
1701,3575.572,Nutmeg,Nagapattinam,Coromandel,Galle,Ceylon
1701,3008.954,Nutmeg,Hooghly,Bengalen,,Ceylon
1701,116334.53,Nutmeg,Batavia,Batavia,Amsterdam,Republiek
1701,506126.712,Cloves,Amboina,Amboina,Batavia,Batavia
1701,45.405,Nutmeg,Batavia,Batavia,Amsterdam,Republiek
1701,70788.718,Nutmeg,Banda-Neira,Banda,Batavia,Batavia
1701,220.0,Nutmeg,Banda-Neira,Banda,Batavia,Batavia
1701,4075.5,Nutmeg,Batavia,Batavia,,Perzië
1701,1521.52,Nutmeg,Batavia,Batavia,,Bengalen
1701,3951.012,Nutmeg,Batavia,Batavia,,Bengalen
1701,3.0,Nutmeg,Batavia,Batavia,,Perzië
1701,9.879999999999999,Nutmeg,Batavia,Batavia,,Perzië
1701,2015.273,Nutmeg,Batavia,Batavia,,Malabar
1701,1521.52,Nutmeg,Batavia,Batavia,,Malabar
1701,2.0,Nutmeg,Batavia,Batavia,,Coromandel
1701,5915.65,Nutmeg,Batavia,Batavia,,Coromandel
1701,12.21,Nutmeg,Batavia,Batavia,,Bengalen
1701,16302.0,Nutmeg,Batavia,Batavia,Delft,Republiek
1701,0.8,Cloves,Batavia,Batavia,,Bengalen
1701,0.5,Cloves,Batavia,Batavia,Zeeland,Republiek
1701,973.427,Cloves,Batavia,Batavia,,Bengalen
1701,34888.75,Pepper,,Malabar,Colombo,Ceylon
1701,336856.624,Pepper,,Malabar,Galle,Ceylon
1701,1235.0,Pepper,Batavia,Batavia,Kaap de Goede Hoop,Kaap de Goede Hoop
1701,67286.258,Pepper,Malakka,Malakka,,Coromandel
1701,23465.0,Pepper,Malakka,Malakka,,Bengalen
1701,342963.452,Pepper,,Ceylon,Amsterdam,Republiek
1701,82451.6875,Pepper,Cheribon,Cheribon,Batavia,Batavia
1701,203951.358,Pepper,,Ceylon,Zeeland,Republiek
1701,370.5,Pepper,Batavia,Batavia,Banda-Neira,Banda
1701,432.25,Pepper,Batavia,Batavia,Ternate,Ternate
1701,2519.3012,Silk,,Ceylon,Amsterdam,Republiek
1701,1246.1421699999999,Silk,,Ceylon,Zeeland,Republiek
1701,20033.676,Silk,,Perzië,Batavia,Batavia
1701,12.35,Silk,Hooghly,Bengalen,,Ceylon
1701,80624.258,Pepper,Batavia,Batavia,Malakka,Malakka
1701,51078.17975,Silk,Batavia,Batavia,Amsterdam,Republiek
1701,7410.0,Pepper,Semarang,Java's Noordoostkust,Batavia,Batavia
1701,3705.0,Pepper,Tegal,Java's Noordoostkust,Batavia,Batavia
1701,176967.10199999998,Pepper,Batavia,Batavia,Hoorn,Republiek
1701,82766.736,Pepper,Batavia,Batavia,Rotterdam,Republiek
1701,208766.376,Pepper,Batavia,Batavia,,Coromandel
1701,117124.93,Pepper,Batavia,Batavia,Enkhuizen,Republiek
1701,560254.786,Pepper,Batavia,Batavia,Zeeland,Republiek
1701,88971.376,Pepper,Batavia,Batavia,Delft,Republiek
1701,10317.931,Pepper,Japara,Java's Noordoostkust,Batavia,Batavia
1701,30875.0,Pepper,Batavia,Batavia,Nagasaki,Japan
1701,214359.444,Pepper,Batavia,Batavia,,Perzië
1701,39404.5275,Pepper,Nagapattinam,Coromandel,Batavia,Batavia
1701,395877.274,Pepper,Palembang,Palembang,Batavia,Batavia
1701,23230.35,Pepper,Padang,Sumatra's Westkust,Batavia,Batavia
1701,1662618.75,Pepper,Bantam,Bantam,Batavia,Batavia
1701,865598.162,Pepper,Batavia,Batavia,Amsterdam,Republiek
1701,358150.0,Pepper,Batavia,Batavia,,Bengalen
1701,146820.659622,Silk,,Bengalen,Batavia,Batavia
1701,22313.270122,Silk,Batavia,Batavia,Nagasaki,Japan
1701,5897.125,Silk,Batavia,Batavia,Delft,Republiek
1701,115.596,Sugar,Malakka,Malakka,Colombo,Ceylon
1701,683.696,Sugar,Batavia,Batavia,Kaap de Goede Hoop,Kaap de Goede Hoop
1701,52693.992,Sugar,Batavia,Batavia,,Perzië
1701,93382.302,Sugar,Batavia,Batavia,Nagasaki,Japan
1701,617.5,Sugar,Batavia,Batavia,Padang,Sumatra's Westkust
1701,617.5,Sugar,Batavia,Batavia,Padang,Sumatra's Westkust
1701,115.596,Sugar,Batavia,Batavia,Malakka,Malakka
1701,1334.294,Sugar,Batavia,Batavia,,Coromandel
1701,300.0,Nutmeg,Malakka,Malakka,Colombo,Ceylon
1701,0.6000000000000001,Cloves,Batavia,Batavia,,Coromandel
1701,6473.376,Cloves,Batavia,Batavia,,Coromandel
1701,486.837,Cloves,Batavia,Batavia,,Malabar
1701,6.0,Cloves,Batavia,Batavia,,Perzië
1701,368.771,Cloves,Batavia,Batavia,,Perzië
1701,9880.0,Cloves,Batavia,Batavia,Delft,Republiek
1701,617.5,Sugar,Batavia,Batavia,Malakka,Malakka
1701,741.0,Sugar,Batavia,Batavia,Malakka,Malakka
1701,120.536,Sugar,Batavia,Batavia,,Timor
1701,26901.171622,Silk,Batavia,Batavia,Zeeland,Republiek
1701,8778.7505,Silk,Batavia,Batavia,Enkhuizen,Republiek
1701,5767.604622,Silk,Batavia,Batavia,Rotterdam,Republiek
1701,11051.119872,Silk,Batavia,Batavia,Hoorn,Republiek
1701,9880.0,Cloves,Batavia,Batavia,Hoorn,Republiek
1701,0.1,Cloves,Batavia,Batavia,Rotterdam,Republiek
1701,9880.0,Cloves,Batavia,Batavia,Rotterdam,Republiek
1701,1176.461,Cloves,Batavia,Batavia,,Ceylon
1701,0.1,Cloves,Batavia,Batavia,Enkhuizen,Republiek
1701,9880.0,Cloves,Batavia,Batavia,Enkhuizen,Republiek
1701,37174.981999999996,Cloves,Batavia,Batavia,Zeeland,Republiek
1701,0.2,Cloves,Batavia,Batavia,Delft,Republiek
1701,3087.5,Sugar,Batavia,Batavia,Ternate,Ternate
1701,3087.5,Sugar,Batavia,Batavia,Ternate,Ternate
1701,120.536,Sugar,Batavia,Batavia,,Timor
1701,1628.224,Cloves,Batavia,Batavia,,Perzië
1701,150.0,Nutmeg,Colombo,Ceylon,Jaffna,Ceylon
1701,240861.062,Nutmeg,Banda-Neira,Banda,Batavia,Batavia
1701,22.724,Nutmeg,Batavia,Batavia,,Siam
1701,0.1,Cloves,Batavia,Batavia,Hoorn,Republiek
1701,39.519999999999996,Cinnamon,Batavia,Batavia,Banda-Neira,Banda
1701,3710.928,Tea,Batavia,Batavia,Zeeland,Republiek
1701,13188.318,Tea,Batavia,Batavia,Amsterdam,Republiek
1701,1549.6779999999999,Tea,Batavia,Batavia,Hoorn,Republiek
1701,2283.268,Tea,Batavia,Batavia,Enkhuizen,Republiek
1701,2240.784,Tea,Batavia,Batavia,Rotterdam,Republiek
1701,12093.119999999999,Cinnamon,Batavia,Batavia,Hoorn,Republiek
1701,3.952,Opium,Batavia,Batavia,Ternate,Ternate
1701,15808.0,Cinnamon,Batavia,Batavia,Rotterdam,Republiek
1701,3952.0,Cinnamon,Batavia,Batavia,Zeeland,Republiek
1701,15808.0,Cinnamon,Batavia,Batavia,Delft,Republiek
1701,7904.0,Cinnamon,Batavia,Batavia,Amsterdam,Republiek
1701,298.376,Cinnamon,,Perzië,Batavia,Batavia
1701,68567.2,Cinnamon,,Ceylon,Amsterdam,Republiek
1701,10868.0,Cinnamon,Tuticorin,Ceylon,,Perzië
1701,43472.0,Cinnamon,,Ceylon,Zeeland,Republiek
1701,29640.0,Cinnamon,,Ceylon,Batavia,Batavia
1701,15373.28,Cinnamon,Batavia,Batavia,Enkhuizen,Republiek
1701,43121.26,Opium,,Bengalen,Batavia,Batavia
1701,39.519999999999996,Cinnamon,Batavia,Batavia,Makassar,Makassar
1701,71749.548,Cloves,Batavia,Batavia,Amsterdam,Republiek
1701,98.8,Cloves,Batavia,Batavia,Kaap de Goede Hoop,Kaap de Goede Hoop
1701,148.2,Cloves,Amboina,Amboina,Makassar,Makassar
1701,98.8,Cloves,Amboina,Amboina,Ternate,Ternate
1701,737.295,Cloves,Hooghly,Bengalen,,Ceylon
1701,24.7,Cloves,Amboina,Amboina,Banda-Neira,Banda
1701,600.0,Nutmeg,Batavia,Batavia,Malakka,Malakka
1701,24.7,Cloves,Batavia,Batavia,,Siam
1701,247.0,Cloves,Batavia,Batavia,,Siam
1701,14.82,Nutmeg,Batavia,Batavia,Malakka,Malakka
1701,49.4,Cloves,Malakka,Malakka,Colombo,Ceylon
1702,1550.2955,Nutmeg,Batavia,Batavia,,Bengalen
1702,49.4,Cinnamon,Batavia,Batavia,Ternate,Ternate
1702,11856.0,Cinnamon,Galle,Ceylon,Batavia,Batavia
1702,64417.6,Cinnamon,Colombo,Ceylon,Batavia,Batavia
1702,12844.0,Cinnamon,Batavia,Batavia,Delft,Republiek
1702,18376.8,Cinnamon,Batavia,Batavia,Zeeland,Republiek
1702,2472.47,Nutmeg,Batavia,Batavia,Rotterdam,Republiek
1702,2568.8,Cinnamon,Batavia,Batavia,Malakka,Malakka
1702,75508.394,Sugar,Batavia,Batavia,Nagasaki,Japan
1702,27.5,Nutmeg,Batavia,Batavia,Rotterdam,Republiek
1702,1205.3600000000001,Sugar,Batavia,Batavia,Ternate,Ternate
1702,8975.98,Silk,Batavia,Batavia,Hoorn,Republiek
1702,1205.3600000000001,Sugar,Batavia,Batavia,Ternate,Ternate
1702,10787.305100000001,Silk,Batavia,Batavia,Rotterdam,Republiek
1702,0.988,Silk,Batavia,Batavia,Amboina,Amboina
1702,8800.2395,Silk,Batavia,Batavia,Enkhuizen,Republiek
1702,0.988,Silk,Batavia,Batavia,Banda-Neira,Banda
1702,9386.0,Nutmeg,Batavia,Batavia,Rotterdam,Republiek
1702,3087.5,Sugar,Batavia,Batavia,Kaap de Goede Hoop,Kaap de Goede Hoop
1702,73112.0,Cinnamon,Galle,Ceylon,Amsterdam,Republiek
1702,12646.4,Cinnamon,Batavia,Batavia,Enkhuizen,Republiek
1702,11856.0,Cinnamon,Batavia,Batavia,Hoorn,Republiek
1702,12844.0,Cinnamon,Batavia,Batavia,Rotterdam,Republiek
1702,2037.75,Sugar,Batavia,Batavia,Malakka,Malakka
1702,2445.3,Sugar,Batavia,Batavia,Malakka,Malakka
1702,9880.0,Cinnamon,Batavia,Batavia,,Perzië
1702,36437.44,Cinnamon,Galle,Ceylon,Zeeland,Republiek
1702,64930.006440000005,Silk,Batavia,Batavia,Amsterdam,Republiek
1702,2282.28,Nutmeg,Batavia,Batavia,,Coromandel
1702,37050.0,Nutmeg,Batavia,Batavia,Zeeland,Republiek
1702,3.0,Cloves,Batavia,Batavia,Rotterdam,Republiek
1702,3354.754,Cloves,Batavia,Batavia,,Bengalen
1702,5919.602,Cloves,Malakka,Malakka,,Perzië
1702,1632.423,Cloves,Batavia,Batavia,,Malabar
1702,4992.364,Cloves,Batavia,Batavia,,Coromandel
1702,1.2000000000000002,Cloves,Amboina,Amboina,Batavia,Batavia
1702,454689.95,Cloves,Amboina,Amboina,Batavia,Batavia
1702,389881.102,Pepper,Batavia,Batavia,,Perzië
1702,178032.907,Pepper,Batavia,Batavia,Surat,Surat
1702,823171.466,Pepper,Batavia,Batavia,Amsterdam,Republiek
1702,80182.375,Pepper,Semarang,Java's Noordoostkust,Batavia,Batavia
1702,17351.75,Pepper,Tegal,Java's Noordoostkust,Batavia,Batavia
1702,47362.25,Pepper,Cheribon,Cheribon,Batavia,Batavia
1702,154297.936,Pepper,Galle,Ceylon,Zeeland,Republiek
1702,790.4,Pepper,Batavia,Batavia,Banda-Neira,Banda
1702,169278.486,Pepper,Galle,Ceylon,Amsterdam,Republiek
1702,286246.81799999997,Pepper,Batavia,Batavia,Enkhuizen,Republiek
1702,183877.174,Pepper,Batavia,Batavia,Hoorn,Republiek
1702,280317.83,Pepper,Batavia,Batavia,Rotterdam,Republiek
1702,3.0,Cloves,Batavia,Batavia,Hoorn,Republiek
1702,3988.556,Nutmeg,Malakka,Malakka,,Perzië
1702,0.30000000000000004,Cloves,Batavia,Batavia,,Ceylon
1702,76.076,Nutmeg,Batavia,Batavia,Kaap de Goede Hoop,Kaap de Goede Hoop
1702,8292.284,Nutmeg,Batavia,Batavia,Zeeland,Republiek
1702,29.0,Nutmeg,Batavia,Batavia,Zeeland,Republiek
1702,1141.14,Nutmeg,Batavia,Batavia,,Malabar
1702,2453.204,Nutmeg,Batavia,Batavia,,Malabar
1702,23.0,Nutmeg,Batavia,Batavia,Delft,Republiek
1702,15.5,Nutmeg,Batavia,Batavia,Hoorn,Republiek
1702,2472.47,Nutmeg,Batavia,Batavia,Delft,Republiek
1702,9386.0,Nutmeg,Batavia,Batavia,Delft,Republiek
1702,150.0,Nutmeg,Batavia,Batavia,Malakka,Malakka
1702,24.7,Nutmeg,Batavia,Batavia,Malakka,Malakka
1702,29.64,Nutmeg,Banda-Neira,Banda,Makassar,Makassar
1702,40.0,Nutmeg,Banda-Neira,Banda,Batavia,Batavia
1702,325030.264,Nutmeg,Banda-Neira,Banda,Batavia,Batavia
1702,59415.356,Nutmeg,Banda-Neira,Banda,Batavia,Batavia
1702,150.0,Nutmeg,Banda-Neira,Banda,Batavia,Batavia
1702,70.642,Nutmeg,Cochin,Malabar,Colombo,Ceylon
1702,17.71,Nutmeg,Batavia,Batavia,Malakka,Malakka
1702,15.5,Nutmeg,Batavia,Batavia,Malakka,Malakka
1702,4052.282,Nutmeg,Batavia,Batavia,Malakka,Malakka
1702,39.767,Nutmeg,Banda-Neira,Banda,Makassar,Makassar
1702,2434.432,Nutmeg,Batavia,Batavia,Hoorn,Republiek
1702,29906.142499999998,Opium,,Bengalen,Batavia,Batavia
1702,152.152,Nutmeg,Batavia,Batavia,,Ceylon
1702,2434.432,Nutmeg,Batavia,Batavia,Enkhuizen,Republiek
1702,0.1,Cloves,Batavia,Batavia,Surat,Surat
1702,42188.587999999996,Cloves,Batavia,Batavia,Surat,Surat
1702,275591.732,Pepper,Batavia,Batavia,Zeeland,Republiek
1702,24.7,Cloves,Batavia,Batavia,,Siam
1702,7769.138,Tea,Batavia,Batavia,Amsterdam,Republiek
1702,922.792,Tea,Batavia,Batavia,Enkhuizen,Republiek
1702,5.71,Nutmeg,Malakka,Malakka,,Bengalen
1702,150.0,Nutmeg,Malakka,Malakka,,Bengalen
1702,2390.96,Nutmeg,Colombo,Ceylon,,Perzië
1702,8116.173,Nutmeg,Batavia,Batavia,,Perzië
1702,7.0,Nutmeg,Batavia,Batavia,Surat,Surat
1702,1711.71,Nutmeg,Batavia,Batavia,Surat,Surat
1702,21593.481,Nutmeg,Batavia,Batavia,Surat,Surat
1702,9386.0,Nutmeg,Batavia,Batavia,Hoorn,Republiek
1702,9386.0,Nutmeg,Batavia,Batavia,Enkhuizen,Republiek
1702,74100.0,Nutmeg,Batavia,Batavia,Amsterdam,Republiek
1702,2358.3559999999998,Nutmeg,Galle,Ceylon,Amsterdam,Republiek
1702,11887.616,Cloves,Batavia,Batavia,,Perzië
1702,59280.0,Pepper,Batavia,Batavia,,Coromandel
1702,151452.99,Pepper,Batavia,Batavia,Delft,Republiek
1702,197.6,Pepper,Batavia,Batavia,Makassar,Makassar
1702,148840.224,Pepper,Batavia,Batavia,,Bengalen
1702,66045.824,Pepper,Batavia,Batavia,Nagasaki,Japan
1702,1323055.5,Pepper,Bantam,Bantam,Batavia,Batavia
1702,677650.922,Pepper,Palembang,Palembang,Batavia,Batavia
1702,33520.9875,Pepper,Padang,Sumatra's Westkust,Batavia,Batavia
